2025-03-02 16:32:45.9952 | Info | Request starting HTTP/2 GET https://localhost:7000/_framework/aspnetcore-browser-refresh.js - - | 
2025-03-02 16:32:46.0132 | Info | Sending file. Request path: '/index.css'. Physical path: 'N/A' | 
2025-03-02 16:32:46.1661 | Info | Request finished HTTP/2 GET https://localhost:7000/_framework/aspnetcore-browser-refresh.js - - - 200 12364 application/javascript;+charset=utf-8 163.9488ms | 
2025-03-02 16:32:46.1661 | Info | Request finished HTTP/2 GET https://localhost:7000/swagger/index.css - - - 200 202 text/css 190.0679ms | 
2025-03-02 16:32:46.1661 | Info | Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A' | 
2025-03-02 16:32:46.1661 | Info | Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A' | 
2025-03-02 16:32:46.1987 | Info | Request finished HTTP/2 GET https://localhost:7000/swagger/swagger-ui.css - - - 200 154948 text/css 231.1861ms | 
2025-03-02 16:32:46.1987 | Info | Request finished HTTP/2 GET https://localhost:7000/swagger/swagger-ui-standalone-preset.js - - - 200 229223 application/javascript 224.5601ms | 
2025-03-02 16:32:46.2566 | Info | Request starting HTTP/2 GET https://localhost:7000/_vs/browserLink - - | 
2025-03-02 16:32:46.3070 | Info | Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A' | 
2025-03-02 16:32:46.3070 | Info | Request finished HTTP/2 GET https://localhost:7000/swagger/swagger-ui-bundle.js - - - 200 1466324 application/javascript 331.1381ms | 
2025-03-02 16:32:46.5583 | Info | Request finished HTTP/2 GET https://localhost:7000/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 301.7285ms | 
2025-03-02 16:32:46.7079 | Info | Request starting HTTP/2 GET https://localhost:7000/swagger/v1/swagger.json - - | 
2025-03-02 16:32:46.7194 | Info | Request finished HTTP/2 GET https://localhost:7000/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 11.4395ms | 
